program;partysize;latencies(ms);bandwidths(Mbs);input_size;packetdrops(%);runtime_internal(s);Bytes Send;runtime_external(s);peakRAM(MiB);System Time(s)
UseCases/SecureMin;3;75;1000;100;2;0:00:11.385;136048;11.97;53;4.04
UseCases/SecureMin;3;75;1000;100;5;0:00:16.535;136048;17.52;43;4.00
UseCases/SecureMin;3;75;1000;1000;0;0:00:09.318;1372648;9.91;92;4.12
UseCases/SecureMin;3;75;1000;1000;1;0:00:20.174;1372648;20.77;88;4.17
UseCases/SecureMin;3;75;1000;1000;2;0:00:23.238;1372648;23.90;98;4.10
UseCases/SecureMin;3;75;1000;1000;5;0:00:37.606;1372648;38.20;100;4.37
UseCases/SecureMin;3;75;1000;10000;0;0:00:37.383;13738648;37.98;480;4.86
UseCases/SecureMin;3;75;1000;10000;1;0:01:39.610;13738648;100.22;488;4.68
UseCases/SecureMin;3;75;1000;10000;2;0:02:16.529;13738648;137.12;482;4.95
UseCases/SecureMin;3;75;1000;10000;5;0:03:50.762;13738648;231.37;498;5.05
UseCases/SecureMin;3;75;100;100;0;0:00:06.034;136048;6.62;49;4.19
UseCases/SecureMin;3;75;100;100;1;0:00:09.535;136048;10.12;53;4.20
UseCases/SecureMin;3;75;100;100;2;0:00:11.889;136048;12.40;61;4.25
UseCases/SecureMin;3;75;100;100;5;0:00:15.083;136048;15.91;61;4.14
UseCases/SecureMin;3;75;100;1000;0;0:00:09.578;1372648;10.17;94;4.15
UseCases/SecureMin;3;75;100;1000;1;0:00:22.438;1372648;24.04;88;4.11
UseCases/SecureMin;3;75;100;1000;2;0:00:25.192;1372648;25.78;86;4.30
UseCases/SecureMin;3;75;100;1000;5;0:00:39.318;1372648;39.91;92;4.32
UseCases/SecureMin;3;75;100;10000;0;0:00:35.390;13738648;35.99;488;4.74
UseCases/SecureMin;3;75;100;10000;1;0:01:31.563;13738648;92.17;494;4.99
UseCases/SecureMin;3;75;100;10000;2;0:02:18.065;13738648;138.65;488;4.99
UseCases/SecureMin;3;75;100;10000;5;0:03:51.804;13738648;232.72;500;5.23
