program  c.domain  adv.model   protocol          partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  latencies(ms)  bandwidths(Mbs)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  System time (s)
62       RING      semihonest  replicated-ring   3          NA            NA                 NA                 30             10000            100         12.976               13.05                17            90%        ~28005        0.5367          1.6101           7.40
62       RING      semihonest  replicated-ring   3          NA            NA                 NA                 30             10000            500         296.113              296.19               17            92%        ~670101       13.3955         40.1865          166.84
62       RING      semihonest  replicated-ring   3          NA            NA                 NA                 30             1000             50          3.2445               3.31                 14            96%        ~7005         0.134046        0.402138         1.86
62       RING      semihonest  replicated-ring   3          NA            NA                 NA                 30             1000             100         12.44                12.52                15            97%        ~28005        0.5367          1.6101           7.76
62       RING      semihonest  replicated-ring   3          NA            NA                 NA                 30             1000             500         304.031              304.11               15            91%        ~670101       13.3955         40.1865          171.42
62       RING      semihonest  replicated-ring   3          NA            NA                 NA                 30             100              50          1.76644              1.85                 14            58%        ~7005         0.134046        0.402138         0.57
62       RING      semihonest  replicated-ring   3          NA            NA                 NA                 30             100              100         11.4626              11.54                15            82%        ~28005        0.5367          1.6101           5.55
62       RING      semihonest  replicated-ring   3          NA            NA                 NA                 30             100              500         300.488              300.56               17            96%        ~670101       13.3955         40.1865          178.89
62       RING      semihonest  replicated-ring   3          NA            NA                 NA                 100            25000            50          2.97934              3.06                 14            94%        ~7005         0.134046        0.402138         1.68
62       RING      semihonest  replicated-ring   3          NA            NA                 NA                 100            25000            100         12.6101              12.69                15            93%        ~28005        0.5367          1.6101           7.20
